# git=04eb6e8-dirty  tag=phase1  date=2026-05-17T06:47:39Z
# sizes=10000,100000,1000000  reps=3  mode=all
kind,bench,runtime,N,rep,exit,bench_ms,real_s,user_s,sys_s,rss_b,peak_b,instructions,cycles
micro,scan,jit,100000,3,0,2,0.00,0.00,0.00,3096576,2442048,38475040,14736088
micro,scan,baseline,1000000,1,0,26,0.02,0.01,0.00,10223616,9634560,234976771,89947160
micro,scan,baseline,1000000,2,0,27,0.02,0.02,0.00,10223616,9634560,234333024,92312165
micro,scan,baseline,1000000,3,0,25,0.02,0.01,0.00,10223616,9634560,233409355,90056907
micro,scan,jit,1000000,1,0,26,0.02,0.01,0.00,10305536,9634560,234970114,91051877
micro,scan,jit,1000000,2,0,27,0.02,0.02,0.00,10305536,9651008,234545309,91553143
micro,scan,jit,1000000,3,0,25,0.02,0.01,0.00,10305536,9634560,233820201,90529571
micro,sort,baseline,10000,1,0,0,0.00,0.00,0.00,2441216,1835776,22755602,8503406
micro,sort,baseline,10000,2,0,0,0.00,0.00,0.00,2441216,1852224,22658174,9081728
micro,sort,baseline,10000,3,0,0,0.00,0.00,0.00,2441216,1835776,22713018,8906838
micro,sort,jit,10000,1,0,0,0.00,0.00,0.00,2490368,1835776,22749715,8583864
micro,sort,jit,10000,2,0,0,0.00,0.00,0.00,2490368,1835776,22761860,8520477
micro,sort,jit,10000,3,0,0,0.00,0.00,0.00,2490368,1852224,22767290,8539707
micro,sort,baseline,100000,1,0,7,0.01,0.00,0.00,4243456,3638016,75360865,31398417
micro,sort,baseline,100000,2,0,8,0.01,0.00,0.00,4243456,3654464,75368652,31693528
micro,sort,baseline,100000,3,0,7,0.01,0.00,0.00,4243456,3638016,75359221,31273741
micro,sort,jit,100000,1,0,7,0.01,0.00,0.00,4292608,3638016,75440361,31232657
micro,sort,jit,100000,2,0,7,0.01,0.00,0.00,4292608,3638016,75473831,31308445
micro,sort,jit,100000,3,0,7,0.01,0.00,0.00,4292608,3654464,75454409,32425645
micro,sort,baseline,1000000,1,0,98,0.10,0.08,0.01,22265856,21693312,607957615,319106764
micro,sort,baseline,1000000,2,0,97,0.10,0.08,0.01,22265856,21693312,607561153,319047865
micro,sort,baseline,1000000,3,0,97,0.10,0.08,0.01,22265856,21676864,607925180,318799083
micro,sort,jit,1000000,1,0,96,0.09,0.08,0.01,22315008,21693312,606366945,315929441
micro,sort,jit,1000000,2,0,97,0.10,0.08,0.01,22315008,21693312,608291025,317831959
micro,sort,jit,1000000,3,0,98,0.10,0.08,0.01,22315008,21693312,608449727,322345656
micro,sqrt_vec,baseline,10000,1,0,0,0.00,0.00,0.00,2310144,1704704,18892598,7084944
micro,sqrt_vec,baseline,10000,2,0,0,0.00,0.00,0.00,2310144,1721152,18765024,6564984
micro,sqrt_vec,baseline,10000,3,0,0,0.00,0.00,0.00,2310144,1704704,18798910,6944684
micro,sqrt_vec,jit,10000,1,0,0,0.00,0.00,0.00,2392064,1704704,18917380,7063009
micro,sqrt_vec,jit,10000,2,0,0,0.00,0.00,0.00,2523136,1852224,19037860,7252019
micro,sqrt_vec,jit,10000,3,0,0,0.00,0.00,0.00,2392064,1704704,18895679,6810089
micro,sqrt_vec,baseline,100000,1,0,2,0.00,0.00,0.00,3031040,2425600,35970485,13401555
micro,sqrt_vec,baseline,100000,2,0,2,0.00,0.00,0.00,3031040,2425600,35912242,12706981
micro,sqrt_vec,baseline,100000,3,0,2,0.00,0.00,0.00,3031040,2425600,35930173,13423189
micro,sqrt_vec,jit,100000,1,0,2,0.00,0.00,0.00,3112960,2425600,36036521,12931957
micro,sqrt_vec,jit,100000,2,0,2,0.00,0.00,0.00,3112960,2425600,36043242,12691495
micro,sqrt_vec,jit,100000,3,0,2,0.00,0.00,0.00,3112960,2425600,36037891,12741773
micro,sqrt_vec,baseline,1000000,1,0,20,0.02,0.01,0.00,10240000,9651008,208024536,71171649
micro,sqrt_vec,baseline,1000000,2,0,20,0.02,0.01,0.00,10240000,9634560,208328497,71469525
micro,sqrt_vec,baseline,1000000,3,0,21,0.02,0.01,0.00,10240000,9651008,208519453,75073540
micro,sqrt_vec,jit,1000000,1,0,20,0.02,0.01,0.00,10321920,9634560,208259679,71448363
micro,sqrt_vec,jit,1000000,2,0,20,0.02,0.01,0.00,10321920,9634560,207974990,71579163
micro,sqrt_vec,jit,1000000,3,0,20,0.02,0.01,0.00,10321920,9634560,208182385,71792570
micro,sum,baseline,10000,1,0,0,0.00,0.00,0.00,2293760,1721152,18593253,7002380
micro,sum,baseline,10000,2,0,0,0.00,0.00,0.00,2293760,1704704,18463049,6851083
micro,sum,baseline,10000,3,0,0,0.00,0.00,0.00,2293760,1704704,18456705,6853603
micro,sum,jit,10000,1,0,0,0.00,0.00,0.00,2375680,1704704,18613935,7789490
micro,sum,jit,10000,2,0,0,0.00,0.00,0.00,2375680,1704704,18580195,6752441
micro,sum,jit,10000,3,0,0,0.00,0.00,0.00,2375680,1704704,18590920,6880120
micro,sum,baseline,100000,1,0,2,0.00,0.00,0.00,3014656,2425600,34752548,14672094
micro,sum,baseline,100000,2,0,2,0.00,0.00,0.00,3014656,2425600,34729190,13611909
micro,sum,baseline,100000,3,0,2,0.00,0.00,0.00,3014656,2442048,34740475,13842016
micro,sum,jit,100000,1,0,2,0.00,0.00,0.00,3096576,2425600,34843176,13726749
micro,sum,jit,100000,2,0,2,0.00,0.00,0.00,3096576,2425600,34864865,13990444
micro,sum,jit,100000,3,0,2,0.00,0.00,0.00,3096576,2425600,34809976,13728887
micro,sum,baseline,1000000,1,0,23,0.02,0.01,0.00,10305536,9716480,197531347,82333133
micro,sum,baseline,1000000,2,0,23,0.02,0.01,0.00,10223616,9651008,198277554,80562487
micro,sum,baseline,1000000,3,0,23,0.02,0.01,0.00,10223616,9634560,198106395,82370106
micro,sum,jit,1000000,1,0,23,0.02,0.01,0.00,10305536,9634560,198185482,80604132
micro,sum,jit,1000000,2,0,24,0.02,0.01,0.00,10305536,9651008,197686178,82364835
